;;;;;;;;;;;;;;;;;;;;;;;;
Ülkeler BES varlıkları;2018;log2018;2019;log2019;2020;log2020;2021;log2021;log2022;2022;;Ülkeler GSYİH büyüme;2018;2019;2020;2021;2022;;Ülkeler lise ve üstü eğitim;2018;2019;2020;2021;2022
ABD;7.44;7.44;7.51;7.51;36,123,046;7.56;40,144,848;7.60;7.54;35,016,907;;ABD;2.97;2.47;-2.21;5.80;1.94;;ABD;43.39;42.47;41.66;41.39;41.82
Kanada;6.40;6.40;2,814,497;6.45;3,081,679;6.49;3,218,436;6.51;6.50;3,126,435;;Kanada;2.74;1.91;-5.04;5.29;3.82;;Kanada;33.73;32.48;32.48;31.08;30.41
Birleşik Krallık;6.42;6.42;3,142,717;6.50;3,507,626;6.55;3,745,230;6.57;6.41;2,561,509;;Birleşik Krallık;1.40;1.64;-10.36;8.67;4.35;;Birleşik Krallık;33.51;32.87;32.26;31.56;30.12
Avustralya;6.27;6.27;1,825,932;6.26;1,797,259;6.25;2,317,142;6.36;6.32;2,089,041;;Avustralya;2.88;1.80;-2.16;5.49;3.91;;Avustralya;36.16;35.73;34.41;34.76;33.74
Japonya;6.23;6.23;1,733,562;6.24;1,819,267;6.26;1,777,065;6.25;6.20;1,572,415;;Japonya;0.64;-0.40;-4.17;2.71;1.16;;Japonya;0;0;0;0;0
Hollanda;6.19;6.19;1,773,745;6.25;2,100,028;6.32;2,079,832;6.32;6.19;1,541,194;;Hollanda;2.26;2.30;-3.88;6.28;5.01;;Hollanda;39.83;39.33;38.84;37.5;36.58
İsviçre;6.00;6.00;1,150,124;6.06;0;0.00;0;0.00;0.00;0;;İsviçre;2.86;1.14;-2.14;5.39;2.57;;İsviçre;44.65;44.59;44;42.42;41.36
Danimarka;5.83;5.83;761,777;5.88;882,109;5.95;889,945;5.95;5.89;780,913;;Danimarka;1.86;1.71;-1.78;7.38;1.54;;Danimarka;41.61;41.23;42.03;40.23;39.71
İsveç;5.67;5.67;539,366;5.73;663,486;5.82;712,116;5.85;5.75;561,147;;İsveç;1.90;2.55;-2.01;5.94;1.46;;İsveç;40.03;39.66;39.29;38.21;37.09
Kore;5.66;5.66;0;0.00;560,037;5.75;551,075;5.74;0.00;0;;Kore;3.18;2.31;-0.70;4.61;2.73;;Kore;39.17;38.69;38.64;38.62;38.43
İsrail;5.31;5.31;259,912;5.41;300,489;5.48;360,569;5.56;5.49;307,330;;İsrail;4.22;3.75;-1.39;9.32;6.36;;İsrail;36.16;36.83;37.88;38.25;37.56
Fransa;5.42;5.42;272,569;5.44;318,134;5.50;314,280;5.50;5.49;306,276;;Fransa;1.65;2.03;-7.44;6.88;2.57;;Fransa;42.46;42.53;41.77;41.53;41.65
Almanya;5.43;5.43;290,520;5.46;338,469;5.53;325,103;5.51;5.43;267,553;;Almanya;0.98;1.07;-3.83;3.17;1.80;;Almanya;57.61;56.82;54.85;54.18;51.02
Meksika;194,031;5.29;241,099;5.38;264,178;5.42;284,235;5.45;0.00;0;;Meksika;1.97;-0.39;-8.35;6.05;3.69;;Meksika;21.16;21.52;22.16;22.35;23.14
İtalya;197,817;5.30;218,475;5.34;256,417;5.41;254,454;5.41;5.36;230,365;;İtalya;0.93;0.48;-8.97;8.31;3.99;;İtalya;42.46;42.56;42.58;42.72;42.71
Şili;193,110;5.29;215,373;5.33;208,482;5.32;167,556;5.22;5.24;174,792;;Şili;3.99;0.63;-6.14;11.33;2.06;;Şili;0;0;0;0;0
Belçika;180,379;5.26;187,122;5.27;0;0.00;0;0.00;0.00;0;;Belçika;1.79;2.24;-5.30;6.93;3.02;;Belçika;37.58;38.01;37.33;36.65;36.67
Finlandiya;151,947;5.18;160,855;5.21;186,741;5.27;197,173;5.29;5.23;169,119;;Finlandiya;1.14;1.22;-2.35;2.84;1.34;;Finlandiya;43.88;44.33;43.33;46.58;46.47
İspanya;173,297;5.24;182,494;5.26;199,627;5.30;194,507;5.29;5.22;166,496;;İspanya;2.28;1.98;-11.17;6.40;5.77;;İspanya;22.86;22.72;23.17;23.21;23.07
İrlanda;125,746;5.10;148,913;5.17;162,459;5.21;175,066;5.24;5.16;144,433;;İrlanda;0.00;0.00;0.00;0.00;0.00;;İrlanda;36.23;36.35;35.55;33.52;33.24
Yeni Zelanda;54,327;4.74;65,769;4.82;80,111;4.90;90,144;4.95;4.89;78,423;;Yeni Zelanda;3.50;3.08;-1.37;5.58;2.37;;Yeni Zelanda;41.16;41.63;40.81;40.07;41.11
İzlanda;38,796;4.59;43,642;4.64;47,612;4.68;54,207;4.73;4.69;49,346;;İzlanda;4.89;1.86;-6.94;5.15;8.88;;İzlanda;35.26;35.00;35.27;35.50;34.23
Polonya;47,987;4.68;47,761;4.68;48,934;4.69;57,321;4.76;4.67;47,153;;Polonya;5.95;4.45;-2.02;6.94;5.64;;Polonya;61.52;60.61;60.37;59.97;59.55
Portekiz;44,543;4.65;49,318;4.69;54,606;4.74;52,540;4.72;4.64;43,557;;Portekiz;2.85;2.68;-8.30;5.74;6.83;;Portekiz;24.82;25.89;27.23;28.36;28.87
Çekya;20,935;4.32;22,445;4.35;25,347;4.40;26,183;4.42;4.42;26,527;;Çekya;2.83;3.57;-5.30;4.03;2.85;;Çekya;69.598;69.54;69.19;67.88;67.77
Türkiye;0;0.00;0;0.00;0;0.00;0;0.00;4.35;22,603;;Türkiye;3.01;0.82;1.86;11.44;5.53;;Türkiye;19.45;19.74;0;20.44;21.66
Slovakya Cum.;12,038;4.08;13,324;4.12;16,192;4.21;17,469;4.24;4.21;16,077;;Slovakya Cum.;4.03;2.51;-3.33;4.77;1.87;;Slovakya Cum.;66.99;65.42;65.68;65.25;64.28
Macaristan;7,968;3.90;8,495;3.93;8,922;3.95;8,844;3.95;3.87;7,468;;Macaristan;5.36;4.86;-4.49;7.06;4.58;;Macaristan;59.76;59;58.37;56.99;57.61
Letonya;4,660;3.67;5,701;3.76;7,004;3.85;7,638;3.88;3.83;6,794;;Letonya;3.99;0.59;-3.51;6.73;2.95;;Letonya;53.69;52.72;51.64;50.39;49.71
Litvanya;3,739;3.57;4,517;3.65;5,723;3.76;6,944;3.84;3.79;6,231;;Litvanya;3.99;4.67;-0.02;6.28;2.44;;Litvanya;51.32;50.11;49.5;47.92;46.38
Estonya;4,978;3.70;5,857;3.77;7,170;3.86;5,835;3.77;3.70;5,032;;Estonya;3.78;4.03;-0.97;7.25;-0.46;;Estonya;48.05;48.68;48.44;48.3;47.71
Slovenya;3,595;3.56;3,940;3.60;4,616;3.66;4,624;3.67;3.63;4,232;;Slovenya;4.45;3.52;-4.24;8.23;2.46;;Slovenya;55.68;55.51;54.36;51.01;50.93
Yunanistan;1,584;3.20;1,750;3.24;2,016;3.30;2,083;3.32;3.29;1,934;;Yunanistan;1.67;1.88;-9.32;8.38;5.56;;Yunanistan;41.62;42.06;43.65;43.63;45.17
Lüksemburg;1,853;3.27;2,020;3.31;2,246;3.35;2,187;3.34;3.23;1,688;;Lüksemburg;1.22;2.92;-0.91;7.17;1.38;;Lüksemburg;33.34;23.5;22.84;29.99;29.54
